iB5c,5 Year  History-Psychiatric hospital or unit
iB5b,"5 Year History-Board and care home, assisted living"
iB5a,5 Year History-Long Term Care Facility
iB5e,5 Year History-Mental health residence psychiatric group home
iB5d,5 Year History-Setting for persons with intellectual disability
iD4a,Ability to see in adequate light (with glasses or with other visual appliance normally used)
iD2,Ability to understand others
iJ2g,"Abnormal thought process loosening of associations, blocking, flight of ideas, tangentiality, circumstantiality"
cABUSE,Abusive Relationship CAP
iQ3b,Accessibility to grocery store without assistance
iJ2m,Acid reflux Regurgitation of acid from stomach to throat
cACTIV,Activities CAP
iC4,Acute change in Mental Status from persons usual functioning
iM3,Adherent with any medication prescribed by physician
cADL,ADL CAP
iP1d1,ADL care - by person 1
iP1d2,ADL care - by person 2
sADLLF,ADL Long Form Scale 0-28 range
sADLSF,ADL Short Form Scale 0-16 range
iG2a,ADL: Bathing
iG2i,ADL: Bed mobility
iG2d,ADL: Dressing lower body
iG2c,ADL: Dressing upper body
iG2j,ADL: Eating
iG2f,ADL: Locomotion
iG2b,ADL: Personal hygiene
iG2h,ADL: Toilet use
iG2g,ADL: Transfer toilet
iG2e,ADL: Walking
iI2aa,Admission Disease code
iI2ba,Admission Disease code
iI2ca,Admission Disease code
iI2da,Admission Disease code
iI2ea,Admission Disease code
iI2fa,Admission Disease code
iI2ga,Admission Disease code
iI2ha,Admission Disease code
iI2ia,Admission Disease code
iI2ja,Admission Disease code
iI2ka,Admission Disease code
iI2la,Admission Disease code
iI2ma,Admission Disease code
Age_Cat,Age categories
iA3,Age of patient at assessment (years)
iJ8b,Alcohol: Highest number of drinks in any single sitting in last 14 days
iM2,Allergy to any drug
iI1c,Alzheimers disease
iI1n,Anxiety
iJ2j,Aphasia
cDRUG,Appropriate Medications CAP
iA12b,"As compared to 90 days ago, person now lives with someone new"
iJ2t,Aspiration
iA9,Assessment reference date
iU1,Assessment signed as complete
aAXURG,Assessment Urgency Algorithm 1 least to 6 most-Hirdes
ibenc_wave,assessment wave
iQ3a,Availability of emergency assistance
iQ3c,Availability of home delivery of groceries
iG9b,Awareness of suggestions that person limits or stops driving
cBEHAV,Behavior CAP
iI1w,Bipolar disorder
iH1,Bladder continence
iN1d,Blood pressure measured in past year
iK4e,BMI
sBMI,Body Mass Index (kg/m^2)
cBOWEL,Bowel CAP
iH3,Bowel continence
iJ5d,Breakthrough pain
cBRITSU,Brittle Support CAP
iI1s,Cancer
cCARDIO,Cardio-respiratory CAP
iG8a,"Change in ADL status as compared to 90 days ago, or since last assessment"
iC5,Change in Decision Making as compared to 90 days ago
iF2,"Change in social activities in last 90 days or since last assesment, if less than 90 days ago"
iJ2e,Chest pain
iI1m,Chronic obstructive pulmonary disease COPD
cmi,CMI case mix index-formal Bjorkgren 2000
cmi_poss,CMI case mix index-formal Poss 2014
cmifi,CMIFI case mix index-formal and informal Bjorkgren 2000
cmifi_poss,CMIFI case mix index-formal and informal Poss 2014
cCOGNIT,Cognitive CAP
iC1,Cognitive Skills for Daily Decision Making
iN1h,Colonoscopy in past 5 years
cCOMMUN,Communication CAP
iJ6a,"Conditions diseases make cognitive, ADL, mood, or behavior patterns unstable"
iF1e,Conflict or anger with family or friends
iI1l,Congestive heart failure CHF
iJ5c,Consistency of pain
iJ2k,Constipation No bowel movement in 3 days or difficult passage of hard stool
iI1k,Coronary heart disease
cc,Country code
CPS2,CPS Version 2 -0-8 range-includes milder impairment stages-Morris 2014
iE1g,"Crying, tearfulness"
iU2,Date assessment signed as complete
sDbSI,Deafblind Severity Index 0-5 range
iK2b,Dehydrated or BUN Cre ratio > 25
cDEHYD,Dehydration CAP
cDELIR,Delirium CAP
iJ2h,Delusions Fixed false beliefs
iI1d,Dementia other than Alzheimers disease
iN1e,Dental exam in past year
iI1o,Depression
iI1t,Diabetes mellitus
iJ2l,Diarrhea
